
> firefly@0.0.1 sweep
> tsx src/eval/sweep.ts --plans tower-5x4 --quick

sweep  plans=tower-5x4  modes=freeze,blind,saturate,flashover,mixed  k=1,2,3  targets=ignition,neighbor,far,random  onset=5  seeds=1,2  ticks=60  cells=120 x 4 brains
  12/120 cells
  24/120 cells
  36/120 cells
  48/120 cells
  60/120 cells
  72/120 cells
  84/120 cells
  96/120 cells
  108/120 cells
  120/120 cells

plan         mode       k   target    brain          falseCert  fc@P.9  coverage  wrongDisp   err C              ttr  ms/tick
tower-5x4    blind      3   far       kalman-source         0%     16%       40%        23%    43.5        0.0 (2/2)     0.55

tower-5x4    blind      3   random    ours                  0%      2%       89%         0%     5.3        0.0 (2/2)     0.66
tower-5x4    blind      3   random    kalman               91%     71%       26%        71%    52.4      never (0/2)     0.22
tower-5x4    blind      3   random    kalman-gated         86%     83%       66%        84%    60.6      never (0/2)     0.17
tower-5x4    blind      3   random    kalman-source         0%     56%       22%        52%    54.2        0.0 (1/2)     0.55

tower-5x4    saturate   1   ignition  ours                  0%      0%       89%         0%     5.3        0.0 (2/2)     0.64
tower-5x4    saturate   1   ignition  kalman               76%     73%      100%        76%    24.8       22.0 (2/2)     0.22
tower-5x4    saturate   1   ignition  kalman-gated         85%     85%      100%        86%    46.6       36.0 (1/2)     0.18
tower-5x4    saturate   1   ignition  kalman-source         0%     21%       24%        38%    25.5      never (0/2)     0.56

tower-5x4    saturate   1   neighbor  ours                  0%      0%       89%         0%     3.9        0.0 (2/2)     0.63
tower-5x4    saturate   1   neighbor  kalman               76%     75%      100%        76%    20.4       22.0 (2/2)     0.24
tower-5x4    saturate   1   neighbor  kalman-gated         84%     88%      100%        88%    52.8       36.0 (1/2)     0.18
tower-5x4    saturate   1   neighbor  kalman-source         0%     31%       30%        24%    20.5        0.0 (2/2)     0.58

tower-5x4    saturate   1   far       ours                  0%      0%       88%         0%     4.5        0.0 (2/2)     0.62
tower-5x4    saturate   1   far       kalman               76%     75%      100%        76%    17.5       22.0 (2/2)     0.23
tower-5x4    saturate   1   far       kalman-gated         83%     88%      100%        88%    55.0       36.0 (1/2)     0.19
tower-5x4    saturate   1   far       kalman-source         0%      9%       40%         5%    27.3        0.0 (2/2)     0.57

tower-5x4    saturate   1   random    ours                  0%     17%       87%        21%   229.5        0.0 (2/2)     1.50
tower-5x4    saturate   1   random    kalman               82%     65%       55%        67%   238.5        8.0 (1/2)     0.23
tower-5x4    saturate   1   random    kalman-gated         71%     80%       98%        80%   142.6       36.0 (1/2)     0.17
tower-5x4    saturate   1   random    kalman-source         0%     33%       46%        46%   232.6      never (0/2)     0.61

tower-5x4    saturate   2   ignition  ours                  0%      0%       89%         0%     5.3        0.0 (2/2)     0.65
tower-5x4    saturate   2   ignition  kalman               76%     73%      100%        76%    24.8       22.0 (2/2)     0.22
tower-5x4    saturate   2   ignition  kalman-gated         85%     85%      100%        86%    46.6       36.0 (1/2)     0.18
tower-5x4    saturate   2   ignition  kalman-source         0%     21%       24%        38%    25.5      never (0/2)     0.56

tower-5x4    saturate   2   neighbor  ours                  0%      0%       89%         0%     3.9        0.0 (2/2)     0.63
tower-5x4    saturate   2   neighbor  kalman               76%     75%      100%        76%    20.4       22.0 (2/2)     0.22
tower-5x4    saturate   2   neighbor  kalman-gated         84%     88%      100%        88%    52.8       36.0 (1/2)     0.18
tower-5x4    saturate   2   neighbor  kalman-source         0%     31%       30%        24%    20.5        0.0 (2/2)     0.56

tower-5x4    saturate   2   far       ours                  0%      0%       88%         0%     4.5        0.0 (2/2)     0.59
tower-5x4    saturate   2   far       kalman               76%     75%      100%        76%    17.5       22.0 (2/2)     0.22
tower-5x4    saturate   2   far       kalman-gated         83%     88%      100%        88%    55.0       36.0 (1/2)     0.18
tower-5x4    saturate   2   far       kalman-source         0%      9%       40%         5%    27.3        0.0 (2/2)     0.56

tower-5x4    saturate   2   random    ours                  0%     17%       87%        21%   229.5        0.0 (2/2)     0.58
tower-5x4    saturate   2   random    kalman               82%     65%       55%        67%   238.5        8.0 (1/2)     0.22
tower-5x4    saturate   2   random    kalman-gated         71%     80%       98%        80%   142.6       36.0 (1/2)     0.16
tower-5x4    saturate   2   random    kalman-source         0%     33%       46%        46%   232.6      never (0/2)     0.55

tower-5x4    saturate   3   ignition  ours                  0%      0%       89%         0%     5.3        0.0 (2/2)     0.62
tower-5x4    saturate   3   ignition  kalman               76%     73%      100%        76%    24.8       22.0 (2/2)     0.24
tower-5x4    saturate   3   ignition  kalman-gated         85%     85%      100%        86%    46.6       36.0 (1/2)     0.19
tower-5x4    saturate   3   ignition  kalman-source         0%     21%       24%        38%    25.5      never (0/2)     0.56

tower-5x4    saturate   3   neighbor  ours                  0%      0%       89%         0%     3.9        0.0 (2/2)     0.60
tower-5x4    saturate   3   neighbor  kalman               76%     75%      100%        76%    20.4       22.0 (2/2)     0.22
tower-5x4    saturate   3   neighbor  kalman-gated         84%     88%      100%        88%    52.8       36.0 (1/2)     0.18
tower-5x4    saturate   3   neighbor  kalman-source         0%     31%       30%        24%    20.5        0.0 (2/2)     0.56

tower-5x4    saturate   3   far       ours                  0%      0%       88%         0%     4.5        0.0 (2/2)     0.58
tower-5x4    saturate   3   far       kalman               76%     75%      100%        76%    17.5       22.0 (2/2)     0.22
tower-5x4    saturate   3   far       kalman-gated         83%     88%      100%        88%    55.0       36.0 (1/2)     0.18
tower-5x4    saturate   3   far       kalman-source         0%      9%       40%         5%    27.3        0.0 (2/2)     0.55

tower-5x4    saturate   3   random    ours                  0%     17%       87%        21%   229.5        0.0 (2/2)     0.57
tower-5x4    saturate   3   random    kalman               82%     65%       55%        67%   238.5        8.0 (1/2)     0.23
tower-5x4    saturate   3   random    kalman-gated         71%     80%       98%        80%   142.6       36.0 (1/2)     0.16
tower-5x4    saturate   3   random    kalman-source         0%     33%       46%        46%   232.6      never (0/2)     0.55

tower-5x4    flashover  1   ignition  ours                  0%      0%       89%         0%     4.2        0.0 (2/2)     0.61
tower-5x4    flashover  1   ignition  kalman               76%     75%      100%        76%     8.1       22.0 (2/2)     0.21
tower-5x4    flashover  1   ignition  kalman-gated         84%     88%      100%        88%    44.9       36.0 (1/2)     0.19
tower-5x4    flashover  1   ignition  kalman-source         0%     29%       40%        20%    15.5        0.0 (2/2)     0.53

tower-5x4    flashover  1   neighbor  ours                  0%      0%       89%         0%     2.6        0.0 (2/2)     0.60
tower-5x4    flashover  1   neighbor  kalman               76%     75%      100%        76%     6.2       22.0 (2/2)     0.21
tower-5x4    flashover  1   neighbor  kalman-gated         82%     88%      100%        88%    47.8       36.0 (1/2)     0.18
tower-5x4    flashover  1   neighbor  kalman-source         0%     19%       38%        10%     9.0        0.0 (2/2)     0.55

